Ward * See Note 1,Year,Service_Requests
1,2005,180
1,2006,107
1,2007,98
1,2008,80
1,2009,82
1,2010,59
1,2011,114
1,2012,98
1,2013,243
1,2014,120
1,2015,117
1,2016,93
1,2017,133
1,2018,103
1,2019,262
1,2020,228
1,2021,244
1,2022,224
1,NA,120
2,2005,183
2,2006,150
2,2007,173
2,2008,137
2,2009,119
2,2010,118
2,2011,196
2,2012,161
2,2013,622
2,2014,213
2,2015,188
2,2016,195
2,2017,231
2,2018,223
2,2019,318
2,2020,270
2,2021,287
2,2022,255
2,NA,164
3,2005,130
3,2006,101
3,2007,126
3,2008,100
3,2009,88
3,2010,90
3,2011,112
3,2012,97
3,2013,802
3,2014,113
3,2015,132
3,2016,83
3,2017,136
3,2018,176
3,2019,553
3,2020,542
3,2021,542
3,2022,610
3,NA,283
4,2005,166
4,2006,166
4,2007,128
4,2008,135
4,2009,117
4,2010,137
4,2011,145
4,2012,144
4,2013,675
4,2014,155
4,2015,130
4,2016,155
4,2017,160
4,2018,182
4,2019,397
4,2020,347
4,2021,367
4,2022,353
4,NA,211
5,2005,386
5,2006,358
5,2007,303
5,2008,301
5,2009,278
5,2010,274
5,2011,346
5,2012,357
5,2013,666
5,2014,297
5,2015,304
5,2016,301
5,2017,344
5,2018,345
5,2019,567
5,2020,646
5,2021,464
5,2022,490
5,NA,228
6,2005,437
6,2006,408
6,2007,422
6,2008,360
6,2009,326
6,2010,324
6,2011,369
6,2012,344
6,2013,475
6,2014,358
6,2015,400
6,2016,342
6,2017,320
6,2018,387
6,2019,285
6,2020,275
6,2021,372
6,2022,303
6,NA,174
7,2005,281
7,2006,145
7,2007,121
7,2008,185
7,2009,162
7,2010,165
7,2011,265
7,2012,232
7,2013,383
7,2014,225
7,2015,172
7,2016,158
7,2017,190
7,2018,173
7,2019,263
7,2020,235
7,2021,216
7,2022,220
7,NA,114
8,2005,179
8,2006,41
8,2007,43
8,2008,67
8,2009,46
8,2010,51
8,2011,109
8,2012,72
8,2013,197
8,2014,75
8,2015,53
8,2016,51
8,2017,71
8,2018,98
8,2019,393
8,2020,416
8,2021,412
8,2022,334
8,NA,210
9,2005,185
9,2006,135
9,2007,156
9,2008,162
9,2009,130
9,2010,177
9,2011,192
9,2012,134
9,2013,464
9,2014,224
9,2015,142
9,2016,162
9,2017,165
9,2018,352
9,2019,368
9,2020,357
9,2021,358
9,2022,361
9,NA,167
10,2005,329
10,2006,176
10,2007,197
10,2008,197
10,2009,193
10,2010,202
10,2011,298
10,2012,214
10,2013,352
10,2014,470
10,2015,182
10,2016,233
10,2017,229
10,2018,204
10,2019,109
10,2020,60
10,2021,90
10,2022,96
10,NA,59
11,2005,483
11,2006,384
11,2007,416
11,2008,365
11,2009,282
11,2010,327
11,2011,398
11,2012,356
11,2013,829
11,2014,394
11,2015,333
11,2016,306
11,2017,341
11,2018,407
11,2019,265
11,2020,269
11,2021,226
11,2022,232
11,NA,123
12,2005,239
12,2006,191
12,2007,232
12,2008,231
12,2009,143
12,2010,198
12,2011,213
12,2012,234
12,2013,498
12,2014,295
12,2015,265
12,2016,202
12,2017,172
12,2018,323
12,2019,263
12,2020,256
12,2021,283
12,2022,217
12,NA,118
13,2005,448
13,2006,385
13,2007,387
13,2008,400
13,2009,260
13,2010,307
13,2011,440
13,2012,362
13,2013,380
13,2014,386
13,2015,362
13,2016,302
13,2017,304
13,2018,240
13,2019,87
13,2020,82
13,2021,81
13,2022,84
13,NA,56
14,2005,230
14,2006,207
14,2007,167
14,2008,160
14,2009,170
14,2010,167
14,2011,236
14,2012,196
14,2013,198
14,2014,151
14,2015,119
14,2016,165
14,2017,140
14,2018,183
14,2019,584
14,2020,540
14,2021,577
14,2022,616
14,NA,291
15,2005,306
15,2006,268
15,2007,320
15,2008,309
15,2009,235
15,2010,282
15,2011,320
15,2012,290
15,2013,621
15,2014,361
15,2015,298
15,2016,217
15,2017,273
15,2018,300
15,2019,240
15,2020,261
15,2021,267
15,2022,266
15,NA,128
16,2005,397
16,2006,307
16,2007,290
16,2008,317
16,2009,255
16,2010,264
16,2011,348
16,2012,251
16,2013,446
16,2014,289
16,2015,241
16,2016,211
16,2017,269
16,2018,230
16,2019,119
16,2020,118
16,2021,160
16,2022,154
16,NA,85
17,2005,379
17,2006,314
17,2007,326
17,2008,380
17,2009,221
17,2010,268
17,2011,275
17,2012,284
17,2013,469
17,2014,308
17,2015,271
17,2016,215
17,2017,211
17,2018,295
17,2019,129
17,2020,121
17,2021,141
17,2022,156
17,NA,86
18,2005,194
18,2006,159
18,2007,203
18,2008,220
18,2009,164
18,2010,188
18,2011,227
18,2012,180
18,2013,229
18,2014,149
18,2015,194
18,2016,140
18,2017,172
18,2018,253
18,2019,218
18,2020,231
18,2021,208
18,2022,255
18,NA,135
19,2005,180
19,2006,184
19,2007,164
19,2008,177
19,2009,183
19,2010,173
19,2011,245
19,2012,188
19,2013,365
19,2014,184
19,2015,196
19,2016,174
19,2017,194
19,2018,283
19,2019,542
19,2020,532
19,2021,538
19,2022,597
19,NA,289
20,2005,141
20,2006,152
20,2007,141
20,2008,124
20,2009,173
20,2010,151
20,2011,193
20,2012,172
20,2013,210
20,2014,149
20,2015,161
20,2016,132
20,2017,128
20,2018,204
20,2019,468
20,2020,393
20,2021,472
20,2022,449
20,NA,272
21,2005,308
21,2006,209
21,2007,244
21,2008,298
21,2009,195
21,2010,210
21,2011,253
21,2012,167
21,2013,366
21,2014,208
21,2015,198
21,2016,190
21,2017,207
21,2018,227
21,2019,398
21,2020,345
21,2021,342
21,2022,347
21,NA,213
22,2005,301
22,2006,211
22,2007,210
22,2008,210
22,2009,179
22,2010,197
22,2011,234
22,2012,199
22,2013,222
22,2014,189
22,2015,154
22,2016,165
22,2017,176
22,2018,162
22,2019,115
22,2020,72
22,2021,99
22,2022,99
22,NA,68
23,2005,716
23,2006,228
23,2007,174
23,2008,241
23,2009,205
23,2010,197
23,2011,202
23,2012,193
23,2013,271
23,2014,258
23,2015,173
23,2016,145
23,2017,205
23,2018,177
23,2019,99
23,2020,75
23,2021,84
23,2022,104
23,NA,30
24,2005,352
24,2006,139
24,2007,103
24,2008,138
24,2009,114
24,2010,104
24,2011,151
24,2012,161
24,2013,132
24,2014,133
24,2015,106
24,2016,84
24,2017,170
24,2018,129
24,2019,219
24,2020,213
24,2021,272
24,2022,232
24,NA,139
25,2005,253
25,2006,209
25,2007,182
25,2008,178
25,2009,191
25,2010,145
25,2011,200
25,2012,168
25,2013,261
25,2014,168
25,2015,165
25,2016,145
25,2017,184
25,2018,147
25,2019,168
25,2020,176
25,2021,162
25,2022,169
25,NA,111
